Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,female_parl_ratio,female_labor_ratio
Latin America-Caribbean,Bahamas,2020,395862.5,97.58940125,0.085834786,1.856881499,0.0,0.12642616,0.049463592,0.291991353,1,44,Bahamas,2020,BHS,395874.0,,0.0,0.0,2.052,-0.469,-18.605,2.026,-0.468,-18.77,5.118,,193.35,5.183,,195.79,0.004,0.009,,,,4.259,168.846,171.146,0.264,0.0,,6.997,164.323,,26472.564,,0.0,0.0,,,6.087,6.175,-0.026,-0.065,0.336,0.848,0.056,0.141,2.048,5.174,,,10.48,0.0,0.006,0.005,0.0,0.01,0.01,0.007,0.0,0.0,,0.001,0.028,,0.0,,-0.001,0.019,,0.006,0.0,0.0,0.0,0.0,2.444,2.41,,,12.8205128205128,65.17
Middle East-North Africa,Bahrain,2020,1483077.0,13.6735096,74.02146912,0.320074171,0.159597144,11.20584488,0.014348853,0.605156124,1,48,Bahrain,2020,BHR,1483081.0,54937336615.0,0.246,0.166,37.429,-0.187,-0.497,37.429,-0.187,-0.497,25.238,0.681,163.544,25.238,0.681,163.544,,,23.993,16.178,0.437,5.504,960.31,960.319,,1.762,736.451,0.01,216.439,,154316.016,4.166,0.444,0.299,33.13,22.339,41.776,41.804,0.0,0.0,24.364,16.428,0.205,0.138,3.609,2.433,,,228.863,0.015,0.106,0.094,,0.013,0.057,0.037,,0.01,0.3,0.0,0.037,,0.111,0.441,0.0,0.033,,0.086,0.001,0.0,0.001,0.0,61.999,61.957,-13.436,-35.897,15.0,41.047
Asia-Pacific,Bangladesh,2020,166298024.0,0.300090015,91.06732178,0.0,0.61018306,7.90237093,0.0,0.120036013,1,50,Bangladesh,2020,BGD,166298024.0,754358367084.0,1.39,0.008,95.729,0.921,0.972,109.973,-1.024,-0.923,0.661,0.146,240.405,0.576,0.127,209.268,10.549,0.063,148.633,0.894,0.197,22.248,1587.443,3246.73,110.687,0.233,963.677,3607.06,490.597,,2750.767,0.606,0.028,0.0,60.126,0.362,0.731,1.322,14.244,0.086,90.907,0.547,28.937,0.174,23.636,0.142,,,457.447,0.086,0.272,0.277,0.074,0.051,0.093,0.126,0.014,0.001,0.393,0.406,0.083,,0.007,0.799,0.315,0.216,,0.373,0.003,0.002,0.006,0.001,219.778,121.616,52.904,55.264,20.9169054441261,40.323
Latin America-Caribbean,Barbados,2020,281698.0,77.34906769,0.706987023,20.13895226,0.106878333,0.462239921,0.045945168,1.18992877,1,52,Barbados,2020,BRB,281706.0,3085224475.0,0.079,0.282,1.256,-0.136,-9.798,1.16,-0.113,-8.881,4.119,0.376,202.082,4.457,0.407,218.681,,,,,,3.742,58.688,59.231,,0.11,1.721,3.717,53.061,,20380.818,1.861,0.004,0.013,0.029,0.104,4.989,5.057,-0.095,-0.338,0.165,0.585,0.045,0.16,1.143,4.058,,,5.741,0.005,0.004,0.003,,0.009,0.003,0.002,,0.001,0.001,0.0,0.009,,0.001,0.0,-0.002,0.01,,0.002,0.0,0.0,0.0,0.0,1.425,1.406,,,20.0,59.687
Europe,Belarus,2020,9350944.0,85.13063812,0.262307256,13.77174568,0.037825391,0.005574159,0.074737325,0.717172384,1,112,Belarus,2020,BLR,9350943.0,180420997693.0,2.302,0.246,59.123,-3.048,-4.902,58.111,-4.253,-6.82,6.214,0.322,202.799,6.323,0.328,206.331,3.789,0.405,66.453,7.107,0.368,80.855,4954.695,9853.619,541.708,10.137,1304.375,5131.236,2962.066,55.554,30643.369,1.588,0.006,0.001,34.029,3.639,7.415,10.635,-1.012,-0.108,18.704,2.0,15.372,1.644,17.906,1.915,0.117,1.091,286.544,0.142,0.168,0.146,0.027,0.186,0.292,0.382,0.069,0.055,0.532,0.578,0.502,0.422,0.002,0.452,-0.022,0.164,0.263,0.349,0.001,0.004,0.006,0.001,99.446,69.341,7.33,12.398,40.0,57.884
Europe,Belgium,2020,11540107.0,50.97150421,6.811327934,38.98344803,0.178415298,0.232221946,0.250827819,2.572257042,1,56,Belgium,2020,BEL,11540102.0,447544069854.0,2.634,0.228,91.255,-8.544,-8.561,94.632,-9.052,-8.73,8.2,0.211,142.539,7.908,0.204,137.451,10.466,0.907,182.339,15.8,0.407,220.602,12552.183,12812.982,7523.05,3.228,1334.289,401.962,3385.875,85.138,57530.324,1.483,0.101,0.009,36.073,3.126,8.916,9.896,3.378,0.293,12.25,1.062,8.959,0.776,40.098,3.475,0.163,1.883,663.906,0.162,0.26,0.239,0.073,0.508,0.739,0.496,0.955,0.017,0.544,0.045,0.574,0.647,0.025,0.48,0.075,0.367,0.455,0.419,0.0,0.006,0.007,0.0,114.199,102.894,91.084,99.814,41.3333333333333,48.659
Latin America-Caribbean,Belize,2020,390811.5,74.36605072,0.180230439,15.62960529,0.253088772,0.195478454,0.197508112,9.178039551,1,84,Belize,2020,BLZ,390819.0,,0.0,0.0,0.654,-0.116,-15.05,7.93,-0.946,-10.655,20.291,,2289.632,1.672,,188.726,,,,,,0.0,19.538,348.168,,0.001,0.051,437.178,19.485,,8861.933,,0.001,0.004,0.0,0.0,2.518,21.171,7.276,18.618,0.481,1.232,0.215,0.55,0.652,1.669,,,3.463,0.0,0.002,0.02,,0.0,0.001,0.013,,0.0,0.0,0.049,0.003,,0.0,0.0,0.161,0.006,,0.013,0.0,0.0,0.0,0.0,8.274,0.984,,,9.67741935483871,41.478
Sub-Saharan Africa,Benin,2020,13070169.0,53.23115921,31.40122795,4.885910034,0.008225815,0.008297001,6.32755e-05,10.46511555,1,204,Benin,2020,BEN,13070169.0,29239039610.0,0.419,0.032,5.541,0.268,5.089,40.664,11.865,41.199,3.111,1.391,1281.498,0.424,0.19,174.617,0.256,0.02,7.462,0.571,0.255,6.084,104.49,1545.508,1.285,0.0,0.714,1423.522,96.407,,2427.813,1.085,0.0,0.0,0.319,0.024,0.748,2.648,35.123,2.687,6.886,0.527,2.898,0.222,4.547,0.348,,,31.732,0.026,0.016,0.102,0.002,0.014,0.006,0.06,0.0,0.0,0.0,0.16,0.016,,0.0,0.004,0.778,0.042,,0.045,0.0,0.0,0.001,0.0,34.615,9.782,1.921,34.669,7.2289156626506,73.587
Asia-Pacific,Bhutan,2020,770006.0,0.550206244,0.222156405,0.043676686,74.73525238,22.50588036,5.71363e-05,1.942768097,1,64,Bhutan,2020,BTN,770013.0,,0.323,0.419,1.214,-0.351,-22.444,7.815,-1.139,-12.723,10.149,,860.169,1.576,,133.591,0.486,0.631,,,,5.799,23.506,653.074,9.214,0.0,,1093.35,8.493,,11798.361,,0.0,0.0,,,2.674,6.793,6.601,8.572,1.172,1.522,0.201,0.261,0.405,0.526,,,9.085,0.02,0.003,0.02,0.003,0.013,0.001,0.025,0.001,0.0,,0.123,0.001,,0.0,,0.146,0.004,,0.031,0.0,0.0,0.0,0.0,5.231,2.059,,,14.8936170212766,63.002
Latin America-Caribbean,Bolivia,2020,11816299.5,88.92559814,0.009802146,9.547657967,0.01885028,0.003686277,0.004188951,1.490216374,1,68,Bolivia,2020,BOL,11816301.0,71382934039.0,1.277,0.108,18.32,-4.289,-18.97,95.823,0.383,0.402,8.109,1.342,1208.755,1.55,0.257,231.099,0.007,0.001,19.942,1.688,0.279,28.192,542.6,7092.772,2.872,49.023,155.995,7978.783,306.519,,6708.879,1.111,0.09,0.008,6.61,0.559,1.955,10.556,77.503,6.559,25.647,2.17,9.701,0.821,10.336,0.875,,,79.274,0.079,0.052,0.242,0.0,0.065,0.032,0.275,0.0,0.265,0.064,0.898,0.052,,0.023,0.088,1.716,0.095,,0.277,0.001,0.003,0.004,0.0,124.737,23.104,1.621,8.851,46.1538461538462,65.02
Sub-Saharan Africa,Botswana,2020,2365893.5,82.29058838,0.33039239,14.72220898,0.228216156,0.137448832,0.00392711,2.287216187,1,72,Botswana,2020,BWA,2365895.0,33010529929.0,0.0,0.0,6.192,-1.293,-17.279,5.637,-1.261,-18.284,2.383,0.171,256.418,2.617,0.188,281.652,2.929,1.238,12.647,5.346,0.383,0.237,155.547,268.444,87.142,0.0,0.004,287.608,68.163,,9292.531,0.666,0.0,0.0,0.0,0.0,3.527,6.125,-0.555,-0.234,4.853,2.051,3.204,1.354,3.263,1.379,,,21.985,0.0,0.018,0.014,0.021,0.001,0.009,0.01,0.011,0.0,0.0,0.032,0.012,,0.0,0.0,-0.012,0.03,,0.039,0.0,0.0,0.001,0.0,14.49,8.346,6.455,104.241,10.7692307692308,56.142
Latin America-Caribbean,Brazil,2020,208660842.5,80.65506744,0.017701255,13.47328377,0.103137359,0.000770417,0.044158481,5.705881596,1,76,Brazil,2020,BRA,208660845.0,2950377451264.0,23.843,0.114,447.999,-28.724,-6.025,1817.239,102.822,5.998,8.709,0.616,530.979,2.147,0.152,130.901,55.949,0.268,437.153,2.095,0.148,767.936,16255.082,131094.672,2481.479,437.664,1253.329,115044.547,11151.43,163.245,16401.875,1.16,17.505,0.084,59.027,0.283,3.043,12.322,1369.24,6.562,535.772,2.568,183.761,0.881,285.284,1.367,0.031,6.392,3422.429,1.468,1.274,4.58,0.392,1.768,0.957,5.078,0.315,2.364,0.511,12.953,1.891,1.241,4.376,0.785,30.316,2.61,1.544,5.251,0.022,0.058,0.083,0.003,2571.217,635.026,-10.846,-2.421,14.6198830409357,50.338
Asia-Pacific,Brunei,2020,447403.5,6.693441868,82.15075684,0.156205788,6.296775341,1.335672617,0.0,3.367149591,1,96,Brunei,2020,BRN,447411.0,,0.0,0.0,11.157,1.593,16.655,11.942,1.499,14.357,26.692,,203.383,24.937,,190.009,2.132,4.765,9.155,20.462,,0.0,379.261,463.985,2.74,80.115,204.112,103.023,92.295,,131241.234,,0.286,0.639,5.329,11.912,33.237,35.119,0.785,1.755,3.38,7.555,0.439,0.98,3.41,7.622,,,58.719,0.0,0.032,0.03,0.015,0.0,0.022,0.018,0.0,0.433,0.083,0.012,0.016,,0.071,0.071,0.017,0.031,,0.022,0.0,0.0,0.0,0.0,15.713,14.871,-2.002,-17.946,9.09090909090909,54.472
Europe,Bulgaria,2020,6933652.0,79.49707794,10.25873566,10.0321579,0.026466111,0.002907086,0.045989148,0.136665002,1,100,Bulgaria,2020,BGR,6933656.0,124392792956.0,1.066,0.154,36.571,-5.624,-13.328,30.313,-6.206,-16.994,4.372,0.244,155.155,5.274,0.294,187.185,16.204,2.337,36.279,5.232,0.292,104.678,3828.777,4865.107,2147.552,9.335,336.839,1179.425,1202.756,27.616,28177.615,1.571,0.684,0.099,5.31,0.766,6.441,6.836,-6.258,-0.903,9.493,1.369,4.02,0.58,11.944,1.723,0.197,1.363,195.374,0.066,0.104,0.076,0.114,0.241,0.225,0.188,0.273,0.05,0.137,0.133,0.204,0.21,0.171,0.071,-0.139,0.109,0.329,0.169,0.0,0.002,0.003,0.0,47.4,44.66,-0.292,-0.8,26.6666666666667,49.517
Sub-Saharan Africa,Burkina Faso,2020,21478689.5,28.00436592,67.40969849,0.575799108,0.001254494,0.000604015,0.0,4.008277893,1,854,Burkina Faso,2020,BFA,21478691.0,34067429050.0,1.085,0.051,5.618,0.0,0.001,33.663,-0.246,-0.725,1.567,0.988,1674.029,0.262,0.165,279.386,,,4.779,0.223,0.14,6.586,70.103,1214.359,,0.0,,1416.46,63.512,,936.216,0.59,0.0,0.0,,,0.555,2.423,28.044,1.306,18.545,0.863,7.923,0.369,4.533,0.211,,,20.109,0.067,0.016,0.085,,0.015,0.004,0.047,,0.0,,0.159,0.011,,0.0,,0.621,0.041,,0.089,0.001,0.001,0.001,0.0,52.042,11.931,-0.839,-14.932,6.2992125984252,69.457
Sub-Saharan Africa,Burundi,2020,12617036.0,94.98027802,2.993593693,1.25295496,0.000163663,0.007467602,0.000163663,0.765379548,1,108,Burundi,2020,BDI,12617041.0,8635657446.0,0.003,0.0,0.739,0.054,7.92,5.529,-0.09,-1.604,0.438,0.64,1534.008,0.059,0.086,205.164,0.026,0.002,,,,0.003,13.221,306.095,0.686,0.0,,510.551,12.532,,285.653,0.417,0.0,0.0,,,0.275,0.667,4.789,0.38,3.801,0.301,1.4,0.111,0.711,0.056,,,3.604,0.0,0.002,0.014,0.0,0.0,0.001,0.012,0.0,0.0,,0.057,0.002,,0.0,,0.106,0.007,,0.022,0.0,0.0,0.0,0.0,8.414,3.464,,,38.2113821138211,78.558
Asia-Pacific,Cambodia,2020,16725473.5,0.316419482,2.0429039,0.079039522,97.09085846,0.000792835,0.0,0.469986796,1,116,Cambodia,2020,KHM,16725484.0,60205930987.0,5.346,0.32,20.991,2.365,12.695,71.907,-3.842,-5.072,4.299,1.194,1186.592,1.255,0.349,346.385,6.441,0.385,37.257,2.228,0.619,21.119,166.675,3267.065,24.226,0.0,,4953.237,121.33,,3623.188,1.007,0.0,0.0,,,1.511,5.922,50.916,3.044,23.069,1.379,4.907,0.293,9.204,0.55,,,60.6,0.329,0.06,0.181,0.045,0.049,0.01,0.127,0.003,0.0,,0.558,0.021,,0.0,,1.127,0.084,,0.184,0.001,0.002,0.003,0.0,99.048,25.277,16.266,77.492,20.0,77.09
Sub-Saharan Africa,Cameroon,2020,26210558.0,69.8339386,25.15727043,2.079864502,0.00181991,0.007430334,0.00637948,2.913296461,1,120,Cameroon,2020,CMR,26210566.0,77203536828.0,1.333,0.051,9.716,0.111,1.155,37.365,2.08,5.896,1.426,0.484,987.04,0.371,0.126,256.667,,,9.929,0.379,0.129,17.522,270.393,2790.029,,52.436,12.51,3361.136,187.662,,1444.284,0.49,1.693,0.065,1.7,0.065,0.935,2.595,27.649,1.055,21.775,0.831,6.252,0.239,4.99,0.19,,,37.856,0.082,0.028,0.094,,0.04,0.016,0.108,,0.283,0.005,0.378,0.032,,0.423,0.023,0.612,0.046,,0.185,0.001,0.002,0.003,0.0,68.029,24.516,0.212,2.185,33.8888888888889,58.059
North America,Canada,2020,38171902.0,53.32112503,4.887863159,34.62942886,1.73734796,1.524757147,0.923046291,2.976430178,1,124,Canada,2020,CAN,38171903.0,1622144486274.0,6.713,0.176,524.208,-54.799,-9.464,646.329,-52.638,-7.531,16.932,0.398,168.537,13.733,0.323,136.692,49.442,1.295,502.928,13.175,0.31,368.891,33480.176,73395.328,9685.735,600.295,8039.942,39915.523,14691.938,93.375,100465.109,2.364,15.156,0.397,224.876,5.891,16.162,20.853,122.121,3.199,110.822,2.903,44.289,1.16,225.773,5.915,0.059,2.249,3834.944,0.413,1.491,1.629,0.347,0.849,1.972,2.843,1.229,3.243,3.28,4.494,2.491,0.71,3.789,2.99,2.704,2.065,0.543,2.331,0.006,0.03,0.037,0.001,795.989,616.927,-21.28,-4.059,28.9940828402367,59.379
Sub-Saharan Africa,Cape Verde,2020,514679.5,78.29804993,0.312664807,20.61620522,0.005148977,0.001373061,0.012357545,0.754201949,1,132,Cape Verde,2020,CPV,514683.0,3381126423.0,0.0,0.0,0.52,-0.11,-17.442,0.521,-0.113,-17.853,1.012,0.154,193.666,1.011,0.154,193.489,,,,,,0.072,14.564,18.692,,0.0,,7.433,14.247,,5224.534,0.795,0.0,0.0,,,1.235,1.455,0.0,0.001,0.144,0.281,0.082,0.159,0.52,1.011,,,2.689,0.0,0.001,0.001,,0.0,0.001,0.001,,0.0,,0.001,0.002,,0.0,,0.0,0.005,,0.001,0.0,0.0,0.0,0.0,0.749,0.635,,,25.0,46.76
Sub-Saharan Africa,Central African Republic,2020,5026628.5,90.67516327,6.241037846,0.452453792,0.001871601,0.002433081,0.003181721,2.623856306,1,140,Central African Republic,2020,CAF,5026629.0,3698072848.0,0.0,0.0,0.333,0.022,7.059,29.907,-12.957,-30.229,5.95,8.087,18511.582,0.066,0.09,206.38,,,,,,0.0,10.813,601.579,,0.0,,743.86,10.794,,321.406,0.437,0.0,0.0,,,0.682,9.706,29.574,5.883,11.607,2.309,9.456,1.881,0.333,0.066,,,1.616,0.0,0.001,0.075,,0.0,0.001,0.023,,0.0,,0.084,0.002,,0.0,,0.655,0.003,,0.075,0.001,0.0,0.001,0.0,48.789,3.426,,,8.57142857142857,64.776
Sub-Saharan Africa,Chad,2020,17224679.0,38.89405441,56.35778046,3.13465786,0.010874331,0.009997175,0.0,1.592638016,1,148,Chad,2020,TCD,17224686.0,23793345004.0,0.151,0.009,2.356,0.057,2.464,11.221,-0.538,-4.578,0.651,0.472,1516.158,0.137,0.099,318.389,,,,,,0.973,40.193,763.504,,4.509,,1196.907,34.699,,429.683,0.311,0.281,0.016,,,0.495,6.292,8.865,0.515,61.443,3.567,26.039,1.512,1.924,0.112,,,7.401,0.009,0.007,0.028,,0.002,0.002,0.03,,0.024,,0.135,0.006,,0.07,,0.196,0.018,,0.155,0.002,0.001,0.002,0.0,108.371,8.523,,,15.4320987654321,48.067
Latin America-Caribbean,Chile,2020,19370624.0,68.32601929,0.066993728,30.26606369,0.038323306,0.005335507,0.081571691,1.215691566,1,152,Chile,2020,CHL,19370621.0,391686945225.0,0.88,0.045,80.178,-11.799,-12.828,114.264,-4.87,-4.088,5.899,0.292,258.238,4.139,0.205,181.203,25.193,1.301,83.111,4.291,0.212,56.386,2999.147,7428.373,991.449,82.856,307.873,4429.566,1560.583,,22842.719,1.13,0.028,0.001,11.043,0.57,5.068,6.428,34.086,1.76,20.75,1.071,7.829,0.404,43.035,2.222,,,442.478,0.054,0.228,0.288,0.177,0.13,0.177,0.288,0.126,0.448,0.126,0.499,0.265,,0.007,0.147,0.755,0.394,,0.256,0.001,0.003,0.004,0.0,124.513,98.176,2.933,3.658,22.5806451612903,45.442
Asia-Pacific,China,2020,1426106093.0,1.78475678,1.821801543,89.6231308,3.742975712,0.00204179,0.000213027,3.025080681,1,156,China,2020,CHN,1426106093.0,24151843898871.0,828.71,0.581,10896.521,183.005,1.708,10632.837,151.888,1.449,7.456,0.44,256.251,7.641,0.451,262.605,7679.382,5.385,9798.917,6.871,0.406,14487.445,237629.781,313407.219,179171.688,148.838,6376.738,82911.133,32673.605,4771.466,29095.936,1.718,5.17,0.004,676.473,0.474,8.479,8.782,-263.683,-0.185,1398.962,0.981,455.387,0.319,1523.058,1.068,0.129,183.727,41493.891,51.027,30.993,26.8,53.826,33.354,13.994,12.14,22.738,0.804,2.601,9.335,5.539,36.268,1.292,8.995,-5.838,13.932,44.381,12.071,0.048,0.134,0.191,0.009,12524.051,12091.771,-1097.603,-10.073,24.9411764705882,59.711
Latin America-Caribbean,Colombia,2020,50629997.5,86.2469635,0.003926908,9.943602562,0.009221531,0.001024615,0.004137866,3.791124821,1,170,Colombia,2020,COL,50629997.0,622365414246.0,4.054,0.08,92.305,-6.657,-6.727,124.28,-39.962,-24.331,2.455,0.2,240.01,1.823,0.148,178.26,20.343,0.402,105.499,2.084,0.17,176.119,3426.225,23907.674,747.385,69.967,644.352,20687.26,1788.402,,10227.39,0.832,0.733,0.014,23.952,0.473,2.569,4.821,31.975,0.632,86.613,1.711,21.845,0.431,43.224,0.854,,,517.813,0.25,0.263,0.313,0.143,0.405,0.202,0.926,0.095,0.378,0.263,2.329,0.303,,0.183,0.318,0.708,0.395,,0.929,0.004,0.011,0.015,0.001,244.111,130.063,13.194,14.294,18.3431952662722,51.108
Sub-Saharan Africa,Comoros,2020,802163.5,0.50999999,98.30000305,0.129999995,0.0,0.00062022,0.0,1.059379816,1,174,Comoros,2020,COM,802172.0,1594579416.0,0.0,0.0,0.37,0.059,18.824,0.389,0.049,14.52,0.485,0.244,363.339,0.461,0.232,345.678,,,,,,0.0,5.39,11.586,,0.0,,13.113,5.39,,1334.557,0.671,0.0,0.0,,,0.894,1.046,0.019,0.024,0.391,0.488,0.068,0.085,0.37,0.461,,,1.071,0.0,0.001,0.001,,0.0,0.0,0.0,,0.0,,0.001,0.001,,0.0,,0.0,0.003,,0.001,0.0,0.0,0.0,0.0,0.839,0.717,,,16.6666666666667,44.892
Latin America-Caribbean,Costa Rica,2020,5034320.0,87.85917664,0.025180042,10.09859562,0.048993725,0.009369318,0.050750472,1.907937527,1,188,Costa Rica,2020,CRI,5034323.0,71455765338.0,0.357,0.071,6.754,-0.906,-11.831,7.487,-1.136,-13.175,1.487,0.105,183.522,1.342,0.095,165.564,0.0,0.0,12.307,2.445,0.172,19.266,252.895,2457.427,2.413,0.0,,2260.328,231.216,,8103.238,0.571,0.0,0.0,,,1.851,2.844,0.733,0.146,4.935,0.98,1.769,0.351,6.397,1.271,,,40.794,0.022,0.019,0.019,0.0,0.044,0.015,0.095,0.0,0.0,,0.254,0.039,,0.0,,0.016,0.059,,0.083,0.0,0.001,0.001,0.0,14.319,9.317,5.553,82.211,45.6140350877193,48.644
Europe,Croatia,2020,3953958.0,90.85782623,1.372602701,6.657827854,0.022288118,0.011706879,0.015337282,1.062411189,1,191,Croatia,2020,HRV,3953956.0,85073361985.0,1.213,0.307,16.87,-0.95,-5.333,14.541,-2.538,-14.859,3.678,0.171,159.134,4.267,0.198,184.618,1.424,0.36,22.999,5.817,0.27,78.517,1112.769,1782.978,144.626,18.583,202.559,958.04,662.783,5.702,23110.643,1.074,0.288,0.073,5.521,1.396,5.123,5.496,-2.329,-0.589,3.575,0.904,2.423,0.613,8.271,2.092,0.039,0.153,91.378,0.075,0.048,0.037,0.01,0.181,0.066,0.069,0.018,0.1,0.083,0.108,0.112,0.043,0.072,0.073,-0.052,0.076,0.037,0.067,0.0,0.001,0.001,0.0,21.732,20.257,6.129,36.331,31.1258278145695,44.447
Latin America-Caribbean,Cuba,2020,11176354.0,60.65393448,0.079992004,21.60783958,0.049995001,0.209978998,0.009999,17.3882618,1,192,Cuba,2020,CUB,11176349.0,81663255167.0,0.457,0.041,21.281,-1.206,-5.363,18.121,-3.871,-17.604,1.621,0.222,194.067,1.904,0.261,227.912,0.004,0.0,,,,58.755,1720.393,5709.11,117.327,0.692,40.736,4011.367,1502.883,,8354.511,1.143,0.027,0.002,1.718,0.154,2.457,3.207,-3.16,-0.283,12.772,1.143,3.524,0.315,19.075,1.707,,,93.373,0.028,0.061,0.046,0.0,0.135,0.101,0.221,0.015,0.004,0.017,0.452,0.255,,0.007,0.023,-0.07,0.174,,0.165,0.001,0.002,0.003,0.0,35.842,27.466,,,53.2231404958678,42.291
Latin America-Caribbean,Curacao,2020,185018.0,90.61946869,0.496805102,5.926228046,0.348674119,1.986836076,0.19414404,0.4278467,1,531,Curacao,2020,CUW,185029.0,,0.0,0.0,2.008,-0.388,-16.208,,,,,,,10.852,,,,,,,,0.0,523.13,,,0.0,,,522.339,,,,0.0,0.0,,,,,,,,,,,2.008,10.852,,,,0.0,0.006,,,0.0,0.031,,,0.0,,,0.089,,0.0,,,0.018,,0.015,,0.0,0.0,,,,,,,
Asia-Pacific,Cyprus,2020,1302247.5,67.7487793,24.3588028,6.57008934,0.557559073,0.266658694,0.043770704,0.454339713,1,196,Cyprus,2020,CYP,1302250.0,30409793367.0,0.882,0.678,6.903,-0.421,-5.752,6.358,-0.164,-2.509,4.882,0.209,224.8,5.301,0.227,244.09,0.056,0.043,8.205,6.301,0.27,33.207,293.043,246.728,3.886,0.0,0.028,64.679,254.616,1.306,21717.27,0.93,0.0,0.0,0.0,0.0,6.549,6.58,-0.546,-0.419,1.695,1.302,0.376,0.288,5.945,4.565,0.015,0.02,28.281,0.054,0.02,0.016,0.0,0.076,0.017,0.01,0.0,0.0,0.0,0.007,0.043,0.01,0.0,0.0,-0.012,0.054,0.005,0.012,0.0,0.0,0.0,0.0,8.569,8.529,1.302,18.858,19.6428571428571,59.05
Europe,Denmark,2020,5831530.0,76.90623474,4.219104767,16.63090706,0.656479597,0.435123563,0.106127203,1.046020389,1,208,Denmark,2020,DNK,5831529.0,275058379473.0,1.227,0.21,28.3,-2.651,-8.564,29.839,-2.776,-8.512,5.117,0.108,155.279,4.853,0.103,147.267,3.166,0.543,48.353,8.292,0.176,78.791,4083.763,5449.824,1842.23,18.624,273.054,1367.545,1856.076,14.988,32952.969,0.699,0.126,0.022,4.799,0.823,5.664,7.967,1.54,0.264,10.602,1.818,5.238,0.898,18.579,3.186,0.069,0.402,192.166,0.076,0.08,0.075,0.022,0.181,0.24,0.211,0.234,0.101,0.111,0.154,0.315,0.114,0.032,0.064,0.034,0.17,0.097,0.189,0.0,0.002,0.003,0.0,46.462,33.028,20.053,70.86,39.6648044692737,57.886
Sub-Saharan Africa,Djibouti,2020,1105188.5,1.100098968,97.67207336,1.101313591,0.0,0.039979678,0.0,0.086538285,1,262,Djibouti,2020,DJI,1105193.0,3123694253.0,0.093,0.084,0.463,-0.077,-14.282,0.562,-0.088,-13.535,0.509,0.18,179.322,0.419,0.148,147.649,,,,,,0.568,18.891,24.57,,0.0,,7.2,18.324,,2837.718,1.004,0.0,0.0,,,1.053,1.771,0.099,0.09,1.169,1.057,0.27,0.244,0.37,0.335,,,3.136,0.006,0.001,0.001,,0.001,0.001,0.001,,0.0,,0.001,0.003,,0.0,,0.002,0.003,,0.004,0.0,0.0,0.0,0.0,1.958,1.163,,,26.1538461538462,18.264
Latin America-Caribbean,Dominican Republic,2020,11008300.0,77.63658142,0.024818942,19.60108948,0.042546757,0.006363831,0.000909119,2.687689304,1,214,Dominican Republic,2020,DOM,11008298.0,162255006875.0,1.855,0.169,26.228,-2.243,-7.88,26.573,-2.519,-8.658,2.414,0.164,266.531,2.383,0.162,263.063,6.519,0.592,34.104,3.098,0.21,48.769,743.607,2342.138,54.801,0.0,27.93,1627.173,612.107,,9056.883,0.614,0.0,0.0,2.943,0.267,2.863,3.735,0.346,0.031,11.595,1.053,3.595,0.327,14.911,1.355,,,99.701,0.114,0.075,0.067,0.046,0.112,0.044,0.091,0.007,0.0,0.011,0.183,0.104,,0.0,0.039,0.008,0.136,,0.084,0.0,0.001,0.001,0.0,41.114,31.512,7.877,30.032,27.8947368421053,47.412
