Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Latin America-Caribbean,Belize,2010,320245,74.03388977,0.194919854,16.00658226,0.256414235,0.20103468,0.183169231,9.123989105,1,84
Latin America-Caribbean,Belize,2020,390811.5,74.36605072,0.180230439,15.62960529,0.253088772,0.195478454,0.197508112,9.178039551,1,84
Sub-Saharan Africa,Benin,2010,9797484,58.32691574,23.46452713,4.399120808,0.009401094,0.009422267,3.17604E-05,13.79058075,1,204
Sub-Saharan Africa,Benin,2020,13070169,53.23115921,31.40122795,4.885910034,0.008225815,0.008297001,6.32755E-05,10.46511555,1,204
Asia-Pacific,Bhutan,2010,701632,0.548139095,0.228651375,0.028466828,74.70137787,22.55322456,3.15132E-05,1.940111041,1,64
Asia-Pacific,Bhutan,2020,770006,0.550206244,0.222156405,0.043676686,74.73525238,22.50588036,5.71363E-05,1.942768097,1,64
Latin America-Caribbean,Bolivia,2010,10182345,95.70630646,0.008412181,3.988294363,0.017019995,0.003325746,0.034531184,0.2421076,1,68
Latin America-Caribbean,Bolivia,2020,11816299.5,88.92559814,0.009802146,9.547657967,0.01885028,0.003686277,0.004188951,1.490216374,1,68
Europe,Bosnia-Herzegovina,2010,3811471.5,46.45385742,51.27508163,1.106963634,0.00236153,0,0.013119613,1.148615599,1,70
Europe,Bosnia-Herzegovina,2020,3299349.5,44.67794418,53.64897919,1.045740604,0.002712135,0,0.015067414,0.609558046,1,70
Sub-Saharan Africa,Botswana,2010,2033110.5,80.46395111,0.716222227,14.66267681,0.248023421,0.143426448,0.004780882,3.760915279,1,72
Sub-Saharan Africa,Botswana,2020,2365893.5,82.29058838,0.33039239,14.72220898,0.228216156,0.137448832,0.00392711,2.287216187,1,72
Latin America-Caribbean,Brazil,2010,193701929.5,89.15826416,0.018563654,8.115718842,0.12678048,0.002994251,0.055669174,2.522007704,1,76
Latin America-Caribbean,Brazil,2020,208660842.5,80.65506744,0.017701255,13.47328377,0.103137359,0.000770417,0.044158481,5.705881596,1,76
Asia-Pacific,Brunei,2010,392332,8.68449688,78.79367065,0.156544909,7.836350441,1.340731382,0,3.188205004,1,96
Asia-Pacific,Brunei,2020,447403.5,6.693441868,82.15075684,0.156205788,6.296775341,1.335672617,0,3.367149591,1,96
Europe,Bulgaria,2010,7437598.5,81.3976059,9.981410027,8.407243729,0.019819338,0.001411629,0.049360912,0.143145353,1,100
Europe,Bulgaria,2020,6933652,79.49707794,10.25873566,10.0321579,0.026466111,0.002907086,0.045989148,0.136665002,1,100
Sub-Saharan Africa,Burkina Faso,2010,16176498,26.58106422,64.34294891,0.624300003,0.001551172,0.000744563,0,8.449393272,1,854
