mediator,label,n,path_a_coef,path_a_p,path_b_coef,path_b_p,path_c_coef,path_c_p,path_c_mediator_coef,path_c_mediator_p,indirect_effect,total_effect,path_a_p_bonferroni,path_b_p_bonferroni,robust_mediation
biodiversity_habitat,Biodiversity & Habitat,107,-0.29911548939005833,9.157904747654061e-05,0.2572192642645225,0.000909782675012739,-0.10493605036144213,0.17169104656385703,0.22591489946742305,0.00466963382787733,-0.06757464571470408,-0.17251069607614622,0.0006410533323357843,0.032687436795141314,True
air_quality,Air Quality,107,-0.06403241998826416,0.48449822503885454,0.5888104314908775,1.3584616974031175e-17,-0.1353780354902215,0.021830894585234153,0.5799040641089366,3.1374183102571498e-18,-0.03713266058592469,-0.1725106960761462,1.0,2.196192817180005e-17,False
red_list_index,Red List Index,107,0.04335082711718752,0.6716221449074937,0.3376137546970461,2.3098784312106125e-06,-0.18749838525340887,0.011624735888203282,0.3457301780366774,2.7359665285544032e-06,0.014987689177262462,-0.1725106960761464,1.0,1.9151765699880823e-05,False
species_protection,Species Protection,107,-0.21157733741866666,0.037831042010413346,0.2369970738797565,0.0037046193288115523,-0.12798968184719708,0.10679137437593973,0.21042430523100705,0.012587169682684054,-0.04452101422894928,-0.17251069607614636,0.26481729407289345,0.08811018777878837,False
species_habitat,Species Habitat,107,0.03848786725366577,0.720504046571411,0.10227256827798545,0.16695027629226455,-0.17670202025108878,0.01632610741123453,0.10889988128774733,0.13762991887497655,0.0041913241749427805,-0.172510696076146,1.0,0.9634094321248359,False
pesticide_risk,Pesticide Risk,107,-0.05666819186797747,0.5474119114921152,-0.1969329257080647,0.029900088944963786,-0.18431020465463657,0.00837259610488382,-0.2082210176386132,0.021865565337651622,0.011799508578490454,-0.1725106960761461,1.0,0.15305895736356134,False
forests,Forests,107,-0.01126525682606022,0.9161000918067661,0.16016410156674188,0.03610291564167011,-0.17072768910143657,0.012331245138708612,0.15827486245902506,0.036449761248422655,-0.0017830069747102745,-0.17251069607614683,1.0,0.2551483287389586,False
