removed_country,muslims_coef,p_value,sample_size
Qatar,-0.003924541332190504,0.10565100632181948,155
Saudi Arabia,-0.003838013838288844,0.12097152665982218,155
United Arab Emirates,-0.003748769092804926,0.12767669591885816,155
Kuwait,-0.0038897037339189625,0.11023690579517516,155
Brunei,-0.003349303903748007,0.17327699034570243,156
